               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11108,            0.093254,            0.017923,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0011,              0.0011,              0.0901
                   1,             0.10054,            0.070363,            0.012151,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020723,           0.0020723,            0.079072
                   2,            0.085427,            0.064704,           0.0087834,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002807,            0.002807,            0.067807
                   3,            0.070839,            0.068496,           0.0082851,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033041,           0.0033041,            0.056304
                   4,            0.052736,            0.069549,           0.0077224,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035636,           0.0035636,            0.044564
                   5,            0.042258,            0.073069,            0.006566,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035855,           0.0035855,            0.032586
                   6,            0.038773,            0.074167,           0.0062108,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033698,           0.0033698,             0.02037
                   7,            0.034866,            0.074039,           0.0063926,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029165,           0.0029165,           0.0079165
                   8,            0.031415,            0.071431,           0.0059789,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                   9,            0.029921,             0.07146,            0.006002,             0.63802,             0.51831,             0.53233,             0.28521,            0.065864,            0.076052,            0.014781,             0.00208,             0.00208,             0.00208
                   0,             0.11102,            0.094077,            0.018153,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011011,           0.0011011,            0.090057
                   1,              0.1005,            0.070656,            0.012063,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020744,           0.0020744,            0.079036
                   2,            0.085388,            0.064951,           0.0089096,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028098,           0.0028098,            0.067777
                   3,            0.071005,            0.068137,           0.0083226,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033074,           0.0033074,            0.056281
                   4,            0.052073,            0.070046,            0.007625,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035672,           0.0035672,            0.044547
                   5,             0.04316,            0.073153,           0.0065496,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035891,           0.0035891,            0.032575
                   6,             0.03784,            0.070675,           0.0062227,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033732,           0.0033732,            0.020365
                   7,            0.036194,            0.074335,           0.0060925,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029194,           0.0029194,           0.0079169
                   8,            0.032339,            0.072434,           0.0055654,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020821,           0.0020821,           0.0020821
                   9,            0.029871,            0.070662,           0.0057352,             0.68971,             0.51454,             0.54998,             0.28466,            0.066906,            0.075661,            0.014463,           0.0020821,           0.0020821,           0.0020821
                   0,             0.11877,            0.088006,            0.019366,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011121,           0.0011121,            0.092035
                   1,             0.10848,            0.065874,            0.012658,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020951,           0.0020951,            0.080758
                   2,            0.093155,            0.060963,           0.0096442,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028379,           0.0028379,            0.069242
                   3,            0.078814,            0.061963,           0.0086671,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033404,           0.0033404,            0.057485
                   4,            0.060894,            0.067562,           0.0082198,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036028,           0.0036028,            0.045488
                   5,              0.0486,            0.072292,           0.0069721,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036249,           0.0036249,            0.033251
                   6,             0.04147,            0.071577,           0.0063564,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034069,           0.0034069,            0.020774
                   7,            0.037266,            0.071673,           0.0062716,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029486,           0.0029486,           0.0080566
                   8,            0.033717,            0.071064,           0.0062189,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021029,           0.0021029,           0.0021029
                   9,            0.032168,            0.069865,           0.0061485,             0.64499,             0.53939,              0.5349,             0.28801,            0.069172,            0.072114,             0.01451,           0.0021029,           0.0021029,           0.0021029
                   0,             0.11093,            0.092403,            0.018087,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001078,            0.001078,            0.090238
                   1,             0.10064,            0.070062,            0.011912,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020309,           0.0020309,            0.079169
                   2,            0.086325,            0.063556,           0.0091297,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027509,           0.0027509,            0.067868
                   3,            0.071964,            0.065298,           0.0081648,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003238,            0.003238,            0.056333
                   4,            0.053927,            0.068204,           0.0077665,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034923,           0.0034923,            0.044566
                   5,             0.04405,            0.071628,           0.0069494,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035138,           0.0035138,            0.032566
                   6,            0.038627,            0.069426,           0.0064245,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033024,           0.0033024,            0.020333
                   7,            0.034919,            0.071158,           0.0060916,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028582,           0.0028582,           0.0078672
                   8,            0.032426,            0.071255,           0.0055879,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020384,           0.0020384,           0.0020384
                   9,            0.030324,            0.070097,           0.0060992,             0.63187,             0.53478,             0.53606,             0.28836,            0.067859,            0.076719,            0.015397,           0.0020384,           0.0020384,           0.0020384
                   0,             0.11698,            0.082162,            0.019051,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011011,           0.0011011,            0.083453
                   1,            0.099972,            0.065015,            0.011789,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020747,           0.0020747,            0.073323
                   2,            0.082769,            0.061942,           0.0098907,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028108,           0.0028108,            0.062955
                   3,            0.065346,            0.067863,           0.0090647,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033094,           0.0033094,             0.05235
                   4,            0.047353,            0.067851,           0.0079811,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035704,           0.0035704,            0.041508
                   5,            0.039551,            0.068778,           0.0070953,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003594,            0.003594,            0.030428
                   6,            0.036686,             0.06512,           0.0065479,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033801,           0.0033801,             0.01911
                   7,            0.034768,            0.067632,           0.0063804,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029287,           0.0029287,           0.0075552
                   8,            0.031337,            0.066161,           0.0059104,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020932,           0.0020932,           0.0020932
                   9,            0.029468,            0.064812,           0.0059219,             0.70579,             0.50612,             0.54608,             0.29254,            0.066276,            0.067534,            0.014869,           0.0020932,           0.0020932,           0.0020932
                   0,             0.11658,            0.094922,            0.018752,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010956,           0.0010956,            0.090371
                   1,             0.10509,            0.069262,            0.012447,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020641,           0.0020641,            0.079303
                   2,            0.089554,            0.064838,           0.0094082,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002796,            0.002796,            0.067997
                   3,            0.073604,            0.067486,           0.0085242,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032913,           0.0032913,            0.056456
                   4,            0.054277,              0.0712,           0.0079648,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035501,           0.0035501,            0.044677
                   5,            0.045533,            0.073547,           0.0071377,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035723,           0.0035723,            0.032662
                   6,            0.038765,            0.072914,           0.0062965,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033579,           0.0033579,            0.020411
                   7,            0.035419,            0.073051,           0.0065395,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029069,           0.0029069,           0.0079224
                   8,            0.032219,            0.073032,           0.0059962,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020742,           0.0020742,           0.0020742
                   9,            0.029981,            0.071221,           0.0063597,             0.65335,             0.51548,             0.54457,             0.29224,            0.067571,            0.076483,            0.015032,           0.0020742,           0.0020742,           0.0020742
                   0,             0.11513,            0.099951,            0.015464,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0008987,           0.0008987,            0.082601
                   1,             0.10575,            0.075733,            0.010989,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016933,           0.0016933,            0.072379
                   2,            0.090932,            0.068915,           0.0081981,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022941,           0.0022941,            0.061964
                   3,            0.076244,            0.069915,             0.00746,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027011,           0.0027011,            0.051355
                   4,            0.058777,            0.071499,           0.0068765,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029142,           0.0029142,            0.040552
                   5,            0.047071,            0.074779,           0.0059878,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029334,           0.0029334,            0.029555
                   6,            0.040701,            0.071349,           0.0056069,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027589,           0.0027589,            0.018365
                   7,            0.036604,            0.074641,           0.0053777,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023904,           0.0023904,           0.0069804
                   8,            0.033547,            0.072862,           0.0049704,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017086,           0.0017086,           0.0017086
                   9,            0.031498,            0.072032,           0.0051554,             0.66489,             0.52893,             0.54788,             0.28905,            0.069508,            0.075861,            0.012527,           0.0017086,           0.0017086,           0.0017086
                   0,              0.1145,            0.079316,            0.017158,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0008987,           0.0008987,            0.087798
                   1,             0.10665,            0.059808,             0.01183,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016934,           0.0016934,            0.076876
                   2,            0.094489,            0.054527,           0.0090285,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022942,           0.0022942,             0.06576
                   3,            0.080669,            0.054038,           0.0081991,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027013,           0.0027013,            0.054451
                   4,            0.066663,            0.056643,           0.0074123,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029146,           0.0029146,            0.042947
                   5,             0.05259,            0.061601,           0.0069185,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029341,           0.0029341,             0.03125
                   6,            0.044368,            0.060945,           0.0062222,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027597,           0.0027597,            0.019359
                   7,            0.039086,            0.059562,           0.0059552,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023916,           0.0023916,           0.0072736
                   8,            0.035259,            0.059424,           0.0056287,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017099,           0.0017099,           0.0017099
                   9,            0.032667,            0.059546,           0.0056386,             0.66559,             0.51548,             0.54002,             0.28941,            0.067764,            0.062162,            0.012988,           0.0017099,           0.0017099,           0.0017099
                   0,             0.12138,             0.11364,            0.028722,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0008558,           0.0008558,            0.062212
                   1,              0.1139,             0.11925,            0.028362,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016123,           0.0016123,            0.054696
                   2,            0.099948,             0.13875,            0.027512,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021839,           0.0021839,            0.046995
                   3,            0.083735,             0.15597,            0.026279,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025708,           0.0025708,            0.039109
                   4,            0.069703,             0.15783,            0.024444,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027728,           0.0027728,            0.031038
                   5,            0.064062,             0.13382,            0.022217,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00279,             0.00279,            0.022783
                   6,            0.063558,              0.1172,            0.019892,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026223,           0.0026223,            0.014342
                   7,            0.061886,             0.10617,            0.017779,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022699,           0.0022699,           0.0057169
                   8,            0.056261,             0.10218,            0.015777,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016192,           0.0016192,           0.0016192
                   9,             0.05293,            0.099599,            0.014473,             0.53409,             0.44454,             0.43019,             0.18746,            0.090486,            0.072439,            0.021936,           0.0016192,           0.0016192,           0.0016192
                   0,             0.13124,            0.068779,            0.017803,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000924,            0.000924,             0.09012
                   1,             0.11601,            0.050749,            0.011508,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001741,            0.001741,             0.07891
                   2,            0.093726,            0.051649,           0.0093183,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023588,           0.0023588,            0.067502
                   3,            0.073107,            0.055817,           0.0088858,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027774,           0.0027774,            0.055894
                   4,            0.051884,            0.056286,           0.0080206,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029966,           0.0029966,            0.044087
                   5,             0.04397,            0.056753,           0.0067233,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030167,           0.0030167,             0.03208
                   6,            0.039843,            0.053738,           0.0061634,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028374,           0.0028374,            0.019875
                   7,            0.036515,            0.055493,           0.0059398,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024589,           0.0024589,           0.0074699
                   8,            0.033717,             0.05422,           0.0056471,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017581,           0.0017581,           0.0017581
                   9,            0.032127,            0.053649,            0.005777,             0.68347,             0.50892,              0.5589,             0.30374,            0.072054,            0.053628,            0.014105,           0.0017581,           0.0017581,           0.0017581
                   0,             0.11383,             0.11807,            0.019229,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010285,           0.0010285,            0.089041
                   1,             0.09907,            0.092173,            0.012232,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019377,           0.0019377,            0.078083
                   2,             0.07868,            0.093201,            0.010904,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026247,           0.0026247,            0.066903
                   3,            0.058841,            0.099789,           0.0096178,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030897,           0.0030897,            0.055501
                   4,            0.044937,             0.09468,           0.0084769,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033327,           0.0033327,            0.043878
                   5,            0.040257,             0.10131,           0.0073653,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033535,           0.0033535,            0.032032
                   6,            0.036925,            0.096261,           0.0070048,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031522,           0.0031522,            0.019964
                   7,            0.033096,             0.09598,           0.0066803,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027289,           0.0027289,           0.0076734
                   8,            0.031536,            0.093086,           0.0062796,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019471,           0.0019471,           0.0019471
                   9,            0.029937,            0.091213,            0.006227,              0.6433,             0.53544,             0.54252,             0.29492,            0.065634,             0.10883,            0.014824,           0.0019471,           0.0019471,           0.0019471
                   0,            0.097613,             0.12427,            0.034767,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010956,           0.0010956,            0.090371
                   1,            0.071749,             0.14617,            0.029182,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020641,           0.0020641,            0.079303
                   2,            0.052635,             0.11826,            0.022388,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002796,            0.002796,            0.067997
                   3,            0.048693,             0.10487,            0.016743,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032913,           0.0032913,            0.056456
                   4,            0.048048,            0.093471,            0.012104,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035501,           0.0035501,            0.044677
                   5,            0.057499,            0.090215,             0.01074,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035723,           0.0035723,            0.032662
                   6,            0.051494,            0.083025,            0.010285,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033579,           0.0033579,            0.020411
                   7,            0.044314,            0.083543,           0.0087635,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029069,           0.0029069,           0.0079224
                   8,            0.040075,            0.083021,           0.0085839,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020742,           0.0020742,           0.0020742
