   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.65496,             0.48498,              0.5125,             0.24139,            0.052825,            0.056971,            0.019886,             0.00854,                0.01,             0.92083,             0.00049,               3.029,             0.70796,             0.10973,              0.0382,              0.4847,              1.2249,             0.74767,              1.1531,                 0.2,              3.9608,                   0,             0.01457,             0.67714,             0.31853,                   0,             0.07672,             0.55724,                   0,                   0,                   0,                 0.5,             0.89487,                   0,                   0,                   2
             0.64225,             0.54063,             0.53809,             0.28285,            0.064454,            0.072785,             0.01323,               0.011,                0.01,             0.97706,             0.00064,              3.7308,             0.65051,             0.10031,             0.05092,             0.46737,              1.1114,             0.94913,              1.1994,                 0.2,              3.2381,                   0,             0.01863,             0.62305,             0.38366,                   0,             0.09979,             0.54821,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8875
             0.58157,             0.51038,             0.50576,              0.2455,            0.062425,            0.088683,            0.019846,             0.00879,             0.01329,             0.91465,             0.00057,               3.122,             0.86774,             0.10308,             0.05092,             0.63067,              1.1655,              1.0301,              1.5496,                 0.2,              2.9171,                   0,             0.01558,             0.70344,             0.33603,                   0,             0.09979,             0.51764,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.65356,             0.53032,             0.53792,             0.28181,            0.054313,            0.059439,            0.022918,             0.01137,             0.01281,             0.89222,             0.00063,              2.8002,                 0.8,             0.10099,             0.03947,             0.60586,              1.4381,             0.86193,             0.98519,                 0.2,              3.7961,                   0,             0.01613,             0.79674,             0.38889,                   0,             0.11317,              0.5666,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3007
             0.63617,             0.52223,             0.53064,             0.27119,            0.072075,            0.075009,            0.014926,             0.01054,                0.01,             0.89678,              0.0005,              2.9935,             0.78726,             0.10959,             0.05325,                 0.5,              1.0252,             0.94175,               1.176,                 0.2,              3.6882,                   0,             0.01724,             0.70344,             0.39156,                   0,             0.11157,              0.5589,                   0,                   0,                   0,                 0.5,             0.90805,                   0,                   0,              3.1488
              0.6807,             0.52542,             0.54305,             0.28942,            0.069508,            0.076929,            0.012463,             0.01001,                0.01,             0.93131,             0.00052,              2.9466,             0.78831,             0.08798,             0.05224,             0.41181,              1.1265,             0.95071,              1.1994,                 0.2,              3.6277,                   0,             0.01613,             0.74863,             0.36805,                   0,             0.09979,             0.52813,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8875
              0.7054,             0.49033,              0.5552,             0.29074,            0.065254,            0.073913,            0.016484,             0.01039,             0.01031,             0.94982,             0.00052,              3.1333,                 0.8,             0.10085,             0.05092,             0.47443,               1.291,             0.87391,              1.2629,                 0.2,              3.4222,                   0,             0.01525,             0.63045,             0.37459,                   0,             0.11528,             0.59277,                   0,                   0,                   0,                 0.5,             0.94546,                   0,                   0,              2.8875
             0.68831,             0.52326,             0.53976,              0.2679,            0.059746,            0.065767,            0.018145,             0.01001,             0.01054,             0.94914,             0.00049,              2.5747,                0.95,              0.0812,             0.04545,             0.56163,             0.86713,             0.91706,             0.98399,                 0.2,               3.828,                   0,             0.01484,             0.70344,             0.38854,                   0,             0.12038,             0.39765,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.63684,             0.46281,             0.48343,             0.22841,            0.073233,            0.053581,            0.018633,             0.01084,             0.01063,              0.8997,             0.00045,              2.7432,                0.95,             0.10307,             0.05227,             0.58545,             0.85644,             0.93028,             0.90511,                 0.2,              3.6961,                   0,             0.01125,               0.575,             0.36524,                   0,             0.10369,             0.49177,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.6492
             0.69217,             0.50905,               0.542,             0.28642,            0.068664,            0.062175,            0.014375,             0.00857,             0.01133,             0.94914,              0.0005,              2.6366,             0.87967,             0.09253,             0.05031,             0.56512,             0.79334,             0.83927,              1.0256,                 0.2,              4.0855,                   0,             0.01293,             0.68904,             0.36511,                   0,             0.10924,             0.50706,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3731
             0.66356,             0.52275,             0.54449,             0.28989,            0.062023,            0.072449,            0.015526,             0.01078,             0.01249,             0.96708,             0.00054,              2.8094,              0.8644,             0.08511,             0.04688,             0.56339,             0.84112,             0.94866,             0.98399,                 0.2,              4.1414,                   0,             0.01518,               0.652,             0.47463,                   0,             0.10924,             0.45116,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0194
