               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   2,            0.084415,            0.066715,           0.0088057,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027593,           0.0027593,            0.067759
                   3,            0.068994,            0.069602,           0.0081553,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032479,           0.0032479,            0.056248
                   4,            0.050553,            0.070576,           0.0075053,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003503,            0.003503,            0.044503
                   5,             0.04185,             0.07289,           0.0064423,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035245,           0.0035245,            0.032525
                   6,            0.036683,            0.070279,           0.0061685,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033125,           0.0033125,            0.020313
                   7,            0.034077,            0.073667,           0.0060265,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028669,           0.0028669,           0.0078669
                   8,            0.031403,            0.072146,            0.005467,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020446,           0.0020446,           0.0020446
                   9,            0.029388,            0.070471,           0.0057271,             0.66842,             0.53286,              0.5508,             0.29143,            0.065625,            0.075205,            0.014102,           0.0020446,           0.0020446,           0.0020446
                   0,             0.10542,            0.071586,            0.010561,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010307,           0.0010307,             0.11115
                   1,            0.099089,            0.057311,           0.0080395,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001942,            0.001942,            0.097214
                   2,            0.090333,            0.047946,           0.0067372,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026309,           0.0026309,            0.083055
                   3,            0.080326,             0.04725,           0.0054892,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030974,           0.0030974,            0.068674
                   4,            0.071098,            0.047452,           0.0049439,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033415,           0.0033415,            0.054071
                   5,            0.062936,            0.048285,           0.0046593,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033633,           0.0033633,            0.039245
                   6,            0.051881,            0.048698,           0.0042968,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031627,           0.0031627,            0.024197
                   7,            0.043993,            0.050804,            0.003998,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027397,           0.0027397,           0.0089262
                   8,            0.037864,            0.051357,           0.0037344,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019573,           0.0019573,           0.0019573
                   9,            0.034033,            0.050894,           0.0035587,             0.72796,             0.49175,             0.52932,             0.28778,            0.066973,             0.05297,           0.0084961,           0.0019573,           0.0019573,           0.0019573
                   0,             0.11107,            0.094639,            0.015088,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010307,           0.0010307,             0.10362
                   1,             0.10123,            0.072775,            0.010661,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019417,           0.0019417,              0.0907
                   2,            0.087963,            0.065965,           0.0079726,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026302,           0.0026302,            0.077556
                   3,            0.074931,            0.066759,           0.0072424,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030959,           0.0030959,            0.064189
                   4,            0.058673,            0.068843,           0.0066203,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033391,           0.0033391,              0.0506
                   5,             0.04674,            0.073215,           0.0058101,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033596,           0.0033596,            0.036788
                   6,            0.040794,            0.070162,           0.0054128,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031575,           0.0031575,            0.022753
                   7,            0.036525,            0.073711,           0.0051951,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027328,           0.0027328,           0.0084963
                   8,            0.033305,            0.071898,           0.0047469,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001949,            0.001949,            0.001949
                   9,            0.031691,            0.070654,           0.0049862,             0.69228,             0.51097,             0.53854,             0.28414,            0.069523,            0.073269,            0.012129,            0.001949,            0.001949,            0.001949
                   0,              0.1141,            0.071252,            0.017798,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010307,           0.0010307,            0.094392
                   1,             0.10561,            0.050732,            0.012212,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019419,           0.0019419,            0.082715
