   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.63925,             0.51707,             0.53425,             0.28439,            0.065918,            0.075972,            0.014825,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.66158,             0.52651,             0.54258,             0.29026,            0.066534,            0.073939,            0.014311,                0.01,                0.01,             0.93712,              0.0005,              2.9982,             0.79921,             0.09995,             0.05005,             0.49992,                   1,              1.0005,             0.99945,                 0.2,               4.001,                   0,               0.015,                 0.7,             0.39987,                   0,             0.10019,             0.50045,                   0,                   0,                   0,                 0.5,              0.9993,                   0,                   0,              3.0032
             0.70469,             0.52673,             0.54942,             0.28169,             0.06747,            0.071091,            0.010377,             0.01123,             0.01156,                0.98,             0.00032,              2.9982,             0.70684,             0.09995,             0.05015,             0.33554,                   1,              1.1022,              0.8278,                 0.2,              3.9906,                   0,             0.01663,              0.7545,             0.50293,                   0,             0.08712,             0.50486,                   0,                   0,                   0,                 0.5,              0.7711,                   0,                   0,              3.1747
             0.68893,             0.50656,             0.53506,             0.28612,            0.068882,            0.074025,            0.012457,             0.00937,             0.01064,             0.92395,             0.00057,              3.0178,             0.77044,             0.11585,                0.05,             0.44632,             0.81621,             0.95929,              1.0435,                 0.2,                   4,                   0,             0.01522,             0.76477,             0.33415,                   0,                 0.1,             0.42946,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.1806
             0.66842,             0.53286,              0.5508,             0.29143,            0.065625,            0.075205,            0.014102,             0.00983,                0.01,             0.93688,              0.0005,              3.0492,             0.80579,                 0.1,                0.05,             0.50844,              1.0014,              1.0044,                   1,                 0.2,              4.0389,                   0,             0.01523,             0.69546,                 0.4,                   0,             0.09828,             0.50021,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.72796,             0.49175,             0.52932,             0.28778,            0.066973,             0.05297,           0.0084961,             0.00937,             0.01111,             0.93734,             0.00048,              3.0498,              0.6278,             0.12373,              0.0463,             0.29485,             0.77639,             0.82332,             0.87867,                 0.2,              4.3255,                   0,              0.0224,             0.72326,             0.37566,                   0,             0.09948,             0.46281,                   0,                   0,                   0,                 0.5,             0.80381,                   0,                   0,              3.1806
             0.69228,             0.51097,             0.53854,             0.28414,            0.069523,            0.073269,            0.012129,             0.00937,                0.01,             0.89675,             0.00061,              2.9683,             0.77044,             0.11527,                0.05,             0.44632,             0.81621,             0.97012,              1.0435,                 0.2,                   4,                   0,             0.01603,             0.80761,             0.33415,                   0,             0.09686,             0.42391,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8456
             0.66876,             0.52759,              0.5397,             0.29548,            0.068545,            0.051371,            0.014388,             0.00937,             0.01076,             0.90181,             0.00063,              3.0178,             0.77044,              0.1049,                0.05,             0.50842,             0.82574,             0.97588,             0.67136,                 0.2,               4.074,                   0,             0.01559,             0.67117,             0.33415,                   0,                 0.1,             0.48227,                   0,                   0,                   0,                 0.5,             0.95724,                   0,                   0,              3.1806
             0.70133,              0.5225,             0.55279,             0.29402,            0.062183,            0.072048,           0.0070157,             0.01121,                0.01,             0.85948,             0.00033,              2.6991,             0.89971,             0.09995,             0.05005,             0.36678,             0.53716,              1.1452,             0.99945,                 0.2,              3.0885,                   0,             0.01321,             0.82698,              0.4459,                   0,             0.08201,             0.48711,                   0,                   0,                   0,                 0.5,             0.94001,                   0,                   0,              3.0032
             0.66996,             0.49818,              0.5302,             0.28407,            0.069145,            0.075639,             0.01303,             0.00993,                0.01,                0.98,             0.00041,              2.9868,             0.66709,             0.09673,             0.05005,             0.41492,                   1,              1.2283,             0.82881,                 0.2,              3.9279,                   0,             0.01764,             0.63273,             0.38509,                   0,             0.10019,             0.45621,                   0,                   0,                   0,                 0.5,             0.90096,                   0,                   0,              3.0032
             0.65656,             0.53612,             0.55031,             0.29125,            0.066952,            0.068642,            0.013578,             0.01052,                0.01,             0.93712,             0.00047,              3.2097,             0.82857,              0.0968,             0.05221,             0.49992,             0.98559,             0.99219,              0.9624,                 0.2,              3.6021,                   0,             0.01473,             0.75265,             0.38188,                   0,             0.10019,             0.51171,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8108
              0.6164,              0.5088,             0.52299,             0.24768,            0.053688,            0.045975,             0.01642,             0.01052,                0.01,                0.98,             0.00034,              3.0605,             0.84962,              0.0968,             0.04313,             0.49992,             0.98582,             0.62994,              1.1148,                 0.2,              3.3357,                   0,             0.01564,             0.75265,             0.41093,                   0,             0.10019,             0.48914,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.64499,             0.53106,              0.5501,             0.29803,            0.057756,            0.072932,            0.011818,             0.00972,             0.01298,              0.9376,             0.00047,              3.7301,             0.84602,             0.10815,             0.04733,             0.49992,             0.84777,               1.151,             0.94681,                 0.2,              3.1937,                   0,              0.0146,             0.65461,             0.39343,                   0,             0.09223,             0.59826,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8108
             0.66204,             0.52784,             0.55055,             0.29145,            0.062397,            0.073761,           0.0070066,             0.01124,             0.01001,             0.85984,             0.00033,              2.6991,             0.90023,             0.09925,             0.05005,             0.36493,             0.53584,              1.1483,              1.0043,                 0.2,              3.0923,                   0,             0.01319,             0.83157,              0.4459,                   0,             0.08186,             0.49346,                   0,                   0,                   0,                 0.5,             0.93747,                   0,                   0,              3.0032
             0.68536,             0.49083,             0.52261,             0.25764,            0.070024,            0.075061,           0.0094263,             0.01192,                0.01,             0.84933,              0.0003,              2.2643,             0.87403,             0.11753,             0.05789,             0.35517,             0.59171,              1.2797,             0.99945,                 0.2,              2.8353,                   0,             0.01321,             0.71828,             0.43357,                   0,             0.08031,             0.43876,                   0,                   0,                   0,                 0.5,             0.94001,                   0,                   0,              2.3073
             0.68421,             0.51823,             0.54884,             0.29029,            0.058877,            0.053112,           0.0077747,             0.01159,                0.01,             0.82302,             0.00021,              2.5074,             0.80809,             0.10641,             0.04654,             0.40525,             0.50259,              1.0206,               0.746,                 0.2,              3.2766,                   0,             0.01321,             0.82698,              0.4459,                   0,              0.0732,             0.69567,                   0,                   0,                   0,                 0.5,             0.82818,                   0,                   0,              3.0032
             0.70578,             0.53587,              0.5557,             0.30703,            0.063989,            0.078914,           0.0055907,             0.01121,                0.01,             0.84663,             0.00033,              2.8103,              0.8098,             0.09806,             0.05119,             0.33933,                 0.5,              1.2745,              1.0917,                 0.2,              2.8369,                   0,             0.01384,             0.82698,             0.42963,                   0,             0.08201,             0.51458,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0319
             0.68816,             0.52116,             0.54866,             0.29332,            0.064958,             0.07169,           0.0067758,             0.01171,                0.01,             0.85515,             0.00035,              2.5946,             0.91358,             0.09995,             0.05168,             0.36116,             0.52674,              1.1452,             0.99945,                 0.2,              3.0885,                   0,             0.01341,              0.8177,             0.44727,                   0,             0.08201,             0.47031,                   0,                   0,                   0,                 0.5,             0.96766,                   0,                   0,              2.8941
             0.66488,              0.5192,             0.55466,              0.3032,             0.06165,            0.073483,           0.0066718,             0.01121,             0.01007,             0.85948,             0.00033,              2.7087,             0.90044,             0.09902,             0.04954,             0.36678,             0.53088,               1.148,             0.98584,                 0.2,              3.1029,                   0,             0.01327,             0.82744,              0.4469,                   0,              0.0817,             0.48717,                   0,                   0,                   0,                 0.5,             0.94001,                   0,                   0,              3.0393
             0.63611,             0.55034,             0.55762,             0.30679,            0.063247,            0.056119,           0.0085967,             0.00852,             0.01042,             0.97292,             0.00052,              3.7301,              0.8722,              0.1067,             0.06092,             0.49992,              1.0343,               1.151,              1.1726,                 0.2,              2.1245,                   0,              0.0146,             0.65482,             0.39343,                   0,             0.14056,             0.63584,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8108
             0.65961,             0.51114,             0.55118,             0.29897,            0.056153,            0.068066,            0.011469,             0.00858,             0.01478,                0.98,             0.00042,              3.7682,             0.85996,             0.10262,             0.04733,             0.50961,             0.86474,               1.151,             0.86635,                 0.2,              3.0291,                   0,             0.01399,             0.70167,             0.38303,                   0,              0.0818,             0.56801,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8108
             0.68097,             0.50988,             0.55408,             0.29745,            0.062112,            0.072388,           0.0070234,             0.01121,             0.01003,             0.86555,             0.00033,              2.7059,             0.90044,              0.0966,             0.04954,              0.3687,             0.52965,               1.148,             0.97234,                 0.2,              3.0997,                   0,             0.01327,             0.84527,              0.4469,                   0,             0.07988,             0.48908,                   0,                   0,                   0,                 0.5,             0.93998,                   0,                   0,              3.0877
             0.69303,             0.48147,             0.51788,             0.23997,             0.06586,            0.077191,           0.0096577,             0.01121,             0.01007,             0.83648,              0.0004,              2.5532,             0.90044,             0.09613,             0.04954,             0.36678,                 0.5,              1.1537,             0.99578,                 0.2,              3.6048,                   0,             0.01393,                 0.9,              0.4629,                   0,              0.0817,             0.55258,                   0,                   0,                   0,                 0.5,             0.82673,                   0,                   0,               2.416
             0.69089,             0.47301,             0.51439,             0.23847,            0.063239,            0.063678,           0.0098563,             0.01025,             0.01007,             0.85948,             0.00031,              2.7087,             0.93691,             0.11543,             0.04886,             0.36678,              0.5578,              1.0251,             0.98584,                 0.2,              3.1029,                   0,             0.01433,             0.76744,             0.35736,                   0,              0.0817,             0.47795,                   0,                   0,                   0,                 0.5,             0.87193,                   0,                   0,                   2
