               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11108,            0.093266,            0.017923,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0011,              0.0011,              0.0901
                   1,             0.10054,            0.070367,            0.012151,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020723,           0.0020723,            0.079072
                   2,            0.085426,            0.064707,           0.0087839,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002807,            0.002807,            0.067807
                   3,            0.070831,              0.0685,           0.0082857,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033041,           0.0033041,            0.056304
                   4,            0.052733,            0.069553,            0.007722,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035636,           0.0035636,            0.044564
                   5,            0.042249,            0.073068,           0.0065646,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035855,           0.0035855,            0.032586
                   6,            0.038723,            0.074176,           0.0062113,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033698,           0.0033698,             0.02037
                   7,            0.034869,            0.074068,           0.0063939,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029165,           0.0029165,           0.0079165
                   8,            0.031407,            0.071438,           0.0059804,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                   9,            0.029932,            0.071457,           0.0060004,             0.63376,              0.5184,             0.53322,             0.28527,            0.065852,             0.07605,            0.014771,             0.00208,             0.00208,             0.00208
                   0,             0.11351,              0.1176,            0.016515,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014685,           0.0014685,            0.065442
                   1,             0.10169,            0.086704,            0.010945,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027665,           0.0027665,            0.058114
