   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.63376,              0.5184,             0.53322,             0.28527,            0.065852,             0.07605,            0.014771,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.63167,             0.53434,             0.53729,              0.2867,            0.066349,             0.10251,             0.01234,             0.01335,                0.01,             0.95489,              0.0005,                   3,             0.82711,             0.07188,                0.05,             0.42554,                   1,               1.216,                   1,                 0.2,              4.8899,                   0,             0.01711,                 0.7,             0.37048,                   0,             0.09635,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8227
             0.66574,             0.50905,             0.53842,             0.28331,            0.067234,             0.10372,            0.012232,             0.01335,                0.01,             0.95523,             0.00051,                   3,              0.8285,             0.07165,                0.05,             0.42866,              0.9806,               1.222,                   1,                 0.2,              4.9827,                   0,             0.01695,                 0.7,             0.37031,                   0,             0.09687,             0.49461,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.5905
             0.67011,             0.52768,              0.5509,             0.29195,            0.067754,            0.093362,            0.013134,              0.0104,                0.01,               0.937,             0.00055,              4.0573,             0.81122,             0.09147,                0.05,             0.45287,              1.0454,                   1,              1.2962,                 0.2,                   4,                   0,             0.01301,             0.65259,             0.44532,                   0,             0.08935,             0.44716,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.67023,             0.53453,             0.54785,             0.28936,            0.067738,            0.075134,            0.014584,                0.01,             0.01001,             0.93728,              0.0005,              3.0019,             0.80176,             0.10027,                0.05,             0.49909,             0.99862,             0.99985,              1.0016,                 0.2,               3.992,                   0,               0.015,             0.69967,             0.40056,                   0,             0.09965,             0.50001,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0082
             0.68403,             0.52918,             0.54488,              0.2905,            0.066905,            0.075833,            0.014392,             0.00974,                0.01,               0.937,              0.0005,              3.0189,             0.79912,             0.09855,             0.04974,             0.49198,              1.0106,                   1,             0.99921,                 0.2,              3.9788,                   0,             0.01467,             0.68564,             0.40574,                   0,             0.10209,             0.49308,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9167
             0.60357,             0.49509,             0.51263,             0.23329,            0.063232,            0.084543,            0.015811,             0.01443,                0.01,              0.9751,             0.00044,              3.4919,             0.89446,              0.0697,              0.0461,             0.41239,              0.9718,              1.1058,             0.91118,                 0.2,              5.2371,                   0,             0.02005,             0.69235,              0.3437,                   0,             0.09635,                 0.5,                   0,                   0,                   0,                 0.5,              0.9393,                   0,                   0,              2.4612
             0.65573,             0.49794,             0.52494,             0.27647,             0.06649,             0.10412,            0.012283,             0.01344,             0.01001,             0.95138,             0.00049,                   3,             0.84376,             0.07322,             0.04934,             0.42554,             0.99639,              1.2205,                   1,                 0.2,              4.8118,                   0,             0.01724,             0.68453,             0.37346,                   0,             0.09565,             0.49637,                   0,                   0,                   0,                 0.5,             0.99186,                   0,                   0,              2.7863
             0.69891,             0.51038,             0.55989,             0.29633,            0.058291,             0.10167,             0.01216,             0.01249,              0.0109,             0.95489,             0.00075,                   3,             0.63351,             0.07188,             0.04469,             0.42554,              1.0463,              1.0772,              1.3419,                 0.2,               4.032,                   0,             0.01758,             0.54276,             0.46602,                   0,              0.0962,             0.37911,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8227
             0.66724,             0.51222,             0.53546,             0.29397,            0.066268,            0.074961,            0.014385,             0.00977,             0.01009,             0.93371,              0.0005,              3.0534,             0.83336,             0.09916,             0.04918,             0.48249,             0.99157,             0.97556,             0.99971,                 0.2,              4.0316,                   0,               0.015,             0.70876,             0.39636,                   0,             0.10036,             0.49861,                   0,                   0,                   0,                 0.5,             0.98419,                   0,                   0,              3.0082
             0.65757,             0.54778,             0.55786,             0.30101,             0.06185,            0.099872,            0.012537,             0.01094,                0.01,             0.95695,             0.00053,               4.397,             0.88468,             0.09147,              0.0477,             0.45606,             0.98359,             0.97648,               1.392,                 0.2,                   4,                   0,             0.01296,             0.65259,             0.43843,                   0,             0.08017,             0.38681,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.4102
             0.71724,             0.49631,             0.53189,             0.28834,            0.072793,            0.085002,            0.013532,             0.00929,                0.01,               0.937,             0.00055,              4.1583,             0.76707,             0.08387,             0.05113,             0.46855,              0.9922,             0.96035,              1.2962,                 0.2,              4.3012,                   0,              0.0128,             0.69225,             0.42238,                   0,             0.08787,             0.48492,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9681
             0.70398,              0.5179,             0.53893,             0.28687,            0.068019,            0.095831,            0.013062,              0.0104,             0.01016,               0.937,             0.00055,               4.067,             0.81267,             0.09147,             0.05046,             0.45191,              1.0349,              1.0055,              1.3102,                 0.2,              3.9951,                   0,             0.01285,             0.65087,             0.44022,                   0,             0.08953,              0.4497,                   0,                   0,                   0,                 0.5,             0.99376,                   0,                   0,              3.0494
             0.62041,             0.53052,             0.53835,              0.2822,            0.068181,            0.088279,            0.012921,             0.01014,             0.01018,             0.93969,             0.00055,              3.9688,             0.80559,             0.09056,                0.05,             0.45506,             0.99715,             0.98862,              1.2548,                 0.2,              4.0708,                   0,             0.01277,             0.62447,             0.46299,                   0,             0.08935,              0.4294,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0407
